0.04	7	-3	15.3
0.08	8	-3	14.7
0.13	6	-3	14.3
0.17	5	-3	14.1
0.21	3	0	13.8
0.25	4	44	14.2
0.29	9	215	17.2
0.33	25	358	22.2
0.38	46	565	25.4
0.42	53	485	25.3
0.46	55	422	25.5
0.50	59	768	27.8
0.54	65	594	28.1
0.58	74	317	27.8
0.63	80	319	27.9
0.67	80	524	28.9
0.71	93	240	27.8
0.75	100	178	26.2
0.79	81	47	24.8
0.83	61	-1	23.6
0.88	44	-3	21.1
0.92	37	-3	20
0.96	30	-3	19.6
1.00	26	-3	19.2
1.04	24	-3	18.7
1.08	21	-3	18.3
1.13	20	-3	17.9
1.17	15	-3	17.2
1.21	11	-1	16.9
1.25	5	28	17
1.29	8	121	18.1
1.33	18	275	19.9
1.38	31	530	22.2
1.42	33	701	25.1
1.46	72	722	28.2
1.50	84	735	29.9
1.54	96	469	30.3
1.58	100	367	30.6
1.63	108	337	31.1
1.67	113	297	31.2
1.71	111	247	31
1.75	88	166	29.8
1.79	72	42	28.3
1.83	53	-1	24.8
1.88	47	-3	22.2
1.92	39	-4	20.6
1.96	37	-5	20.5
2.00	54	-4	23.1
2.04	58	-4	23.3
2.08	56	-4	22.9
2.13	49	-4	21.7
2.17	45	-4	21.3
2.21	45	-4	21.4
2.25	32	48	20.9
2.29	31	178	22
2.33	50	340	23.9
2.38	58	444	25.1
2.42	64	561	26.4
2.46	69	735	27.9
2.50	72	604	28.5
2.54	83	749	29.9
2.58	98	402	29.7
2.63	103	382	29.9
2.67	89	481	30.8
2.71	84	398	30.9
2.75	85	167	29.9
2.79	77	27	28
2.83	60	-2	23.1
2.88	51	-5	20.5
2.92	44	-5	19.1
2.96	41	-4	18.2
3.00	44	-4	18
3.04	45	-3	17.1
3.08	44	-3	16.7
3.13	37	-3	15.6
3.17	32	-3	14.9
3.21	25	-1	14.5
3.25	16	24	15.1
3.29	12	40	17.1
3.33	11	71	17.8
3.38	24	401	20.5
3.42	49	638	24.7
3.46	73	784	27.1
3.50	81	851	28.5
3.54	72	855	29.6
3.58	70	704	30.1
3.63	68	205	29.5
3.67	65	78	28.1
3.71	57	129	26.8
3.75	49	116	25.3
3.79	46	30	23.1
3.83	44	0	22.2
3.87	41	-4	21.3
3.92	37	-4	20.3
3.96	36	-4	19.5
4.00	36	-4	18.7
4.04	14	-3	10
4.08	12	-2	9.6
4.12	10	-2	9.3
4.17	9	-2	9.2
4.21	5	0	9.1
4.25	3	27	10.2
4.29	3	88	11.9
4.33	9	353	16
4.38	25	446	19.7
4.42	35	527	20.4
4.46	43	508	21.1
4.50	42	281	21.1
4.54	39	250	20.9
4.58	42	143	20.2
4.63	24	70	17.2
4.67	16	49	16
4.71	22	34	15.5
4.75	27	24	14.7
4.79	25	6	14.3
4.83	24	-3	13.6
4.88	19	-3	13.7
4.92	16	-3	13.9
4.96	18	-3	14
5.00	14	-3	14.1
5.04	14	-3	14.2
5.08	15	-3	14.3
5.13	12	-3	14.4
5.17	12	-3	14.5
5.21	17	-3	14.7
5.25	11	32	14.6
5.29	15	59	15.3
5.33	18	83	15.9
5.38	21	147	16.3
5.42	31	262	17.4
5.46	39	416	18.3
5.50	50	484	19.9
5.54	49	304	20.1
5.58	38	240	19.5
5.63	40	282	20.1
5.67	47	300	20.7
5.71	55	219	21.1
5.75	58	123	20.8
5.79	40	11	19.4
5.83	26	-3	17.7
5.88	21	-4	17.3
5.92	18	-4	16.9
5.96	29	-3	16.7
6.00	19	-3	15.2
6.04	16	-3	14.6
6.08	12	-3	14.6
